"id","AdamOptimizer-args-lr","DualEncoderModel-audio_enc-conv_dropout","DualEncoderModel-audio_enc-conv_fine_tune_from","DualEncoderModel-audio_enc-fc_dropout","DualEncoderModel-audio_enc-fc_units","criteria-infonce_loss-args-temperature","DualEncoderModel-text_enc-fc_units"
"g2qdlpb1","0.0006411930704192249","0.12550868127339068","4","0.34520519706906516","909","0.08009114544713761","414"
"m5e6a068","0.0004310848159058503","0.1848374005729535","4","0.2761125230996232","430","0.0960543640590865","377"
"u2ji6ouj","0.0006244365670042761","0.1531080335512409","3","0.3779214372088451","511","0.08295237751592996","293"
"8fi8odtb","0.0005216454220591253","0.1665008555777986","6","0.17000867473869807","1645","0.05383587645101912","357"
"q6j2ked5","0.0007450598330057459","0.1860773418485457","3","0.24225515540783657","379","0.07847416232023186","425"
"dkufsyu1","0.000940724675865356","0.19484824705572776","5","0.2573443370599822","480","0.06952406494848772","1401"
"jiio162z","0.0006899804915818682","0.17656728572844768","3","0.2423197855973105","819","0.07851023523662665","794"
"lsd7l2nm","0.0005698296446820981","0.2007989942653561","3","0.3319281226352798","628","0.09082898348188732","490"
"bign2w7g","0.0007323873567412041","0.2185295168749334","5","0.2433314369453128","516","0.0824405602799845","1075"
"8f70iyjn","0.0008028017424713558","0.19460003884078617","3","0.26456489442682374","678","0.08716566814021398","1123"
"u9d5xbib","0.00024260084259555175","0.22727212582370432","4","0.22237305347329409","739","0.09551934756550062","290"
"u6q670m3","0.0006320122595963285","0.15046762447454137","5","0.41614460949099985","639","0.08722817061560954","292"
"ydqlx0hi","0.0006783991010026008","0.1512063041419273","4","0.25911102770567196","630","0.08132106887847695","1112"
"4wel0ai0","0.0006887835022518793","0.16683406973452913","3","0.23085410966203135","715","0.08575597338035734","355"
"5ntqoiuh","0.0007678298097681044","0.20437527126640612","3","0.363288837603605","879","0.09594237452763375","265"
"gqzcg9yu","0.0006431925485594835","0.16429896905408695","4","0.2068091529768737","437","0.07198897683196137","975"
"99wo4q3o","0.0007721880938863238","0.24423834381940912","4","0.14965003371637692","443","0.0742848151982664","615"
"8sonyzri","0.0008557486339782559","0.2687691908617901","5","0.32533942292853335","436","0.08093026683056842","562"
"t8u9x27h","0.0008188791526141322","0.2548314433188237","4","0.3390819778899113","568","0.07985336972755758","387"
"t4oq47yl","0.0006995880177004637","0.20111038319260663","6","0.2446526277046003","2005","0.04898298314130515","305"
"tggswlmz","0.0007229406584436931","0.2769618076662275","4","0.3006615480850091","656","0.08268586732627095","604"
"vtfhv8pd","0.0007174084601139727","0.1458012696099126","3","0.3950375054053666","319","0.0872026043410995","507"
"rwf5pa9o","0.0006350750815326047","0.16485043227656684","4","0.25943170844756","693","0.08684754584907003","718"
"wuuko2je","0.00047814524813022646","0.23976291631453137","3","0.14977880077724876","365","0.08826071099373752","448"
"a1lnt8g1","0.0005560143530115132","0.21677913492121764","3","0.2392047333068494","264","0.09541854847178063","434"
"730fokwz","0.0006023480508023546","0.15225012444916297","3","0.25106093829826226","427","0.07160262138000223","331"
"dbe1q47x","0.0006897259297048463","0.20028348285992303","3","0.2332580245696856","421","0.06364712786392306","998"
"s19gtq4i","0.0008744878280622121","0.19661885577941668","4","0.21933280472308547","319","0.07892058467456727","533"
"358wa4eo","0.0006586343510583045","0.1960567511087915","6","0.3686796860009202","602","0.0932678190277942","633"
"qx6h812z","0.000800542521727246","0.16863472890621822","4","0.25178034960489876","747","0.07285512626169358","426"
"lj2gsdqr","0.0006877324531363932","0.2567288457474308","3","0.3516145464347399","387","0.09223040279299737","381"
"6u2vemet","0.00038125187090820177","0.14383791158089765","2","0.2834069210224777","266","0.09860342428726104","400"
"l2k20ibq","0.0004343446164594816","0.2352168595507568","4","0.24537188304472105","395","0.07649713248447965","349"
"m7codm1i","0.0005700699746619544","0.17588304744657365","5","0.17739359513458003","1625","0.05040371871882163","392"
"t95r46f5","0.0006756293309024373","0.1631489840965469","3","0.15833578433354686","520","0.07920451627439362","701"
"0bwbw62w","0.0006121083521916758","0.13210824739830662","4","0.2541272453697959","532","0.09747897535163594","387"
"iqn5hslm","0.0005966011488099747","0.19460181900688128","3","0.17514419409387538","680","0.0864721713280285","296"
"wmxlakz2","0.0007350466562747302","0.3040285559078229","5","0.23589308753200813","796","0.07975263526805476","1025"
"u0zr1re0","0.0008162067176226143","0.16203934258004718","3","0.16086117699271504","1007","0.07854281112407321","1115"
"0iwbis9t","0.0006978559866321884","0.1955815591753415","3","0.19910345882405267","788","0.09491120172197276","556"
"r4w7aa9s","0.0008922900271515581","0.2628446514957715","2","0.2504040241579334","731","0.09639962906154198","313"
"v56bhrtu","0.000557706812230939","0.19229872678752824","4","0.33376745204510205","628","0.07392370872857748","343"
"he5f7xt9","0.0008959500210848301","0.1874047259223708","5","0.3594180048431066","633","0.09387202596423738","681"
"3gv09v8r","0.0006721024699529062","0.4019538004863512","5","0.4562107761694826","1688","0.09330621850889236","1951"
"6avz37ql","0.0004358314218170296","0.10188045729640566","6","0.2625950782657867","1947","0.0598049303466636","495"
"9xb68lm1","0.0007819467407577844","0.13201590172066582","2","0.21016553757844536","413","0.09213539752283106","484"
"y2icd38h","0.0008042191395790251","0.10594781175917284","3","0.3641180528414144","402","0.07629621386285791","279"
"590innol","0.000455234062654985","0.1918659433265859","5","0.3715269175484677","367","0.08933567385263876","356"
"eac6wt60","0.000985552291991637","0.226354091949263","3","0.26738646993029824","653","0.07349641180371765","709"
"st6dfpw5","0.0006234323350198188","0.21475218582091993","5","0.24295168597067543","1032","0.0915462734847699","292"
"vzwde8gt","0.0004671650294846588","0.4389759394109227","2","0.33011416088538503","1530","0.08829696193872652","1600"
"elp1gru4","0.0008016519187027037","0.1762497273781136","4","0.32350641540025615","418","0.09242609103377036","759"
"cnsah11l","0.0003982915410195618","0.1528289001416246","4","0.2017207269824049","679","0.09817332483674714","498"
"z17ozeer","0.0004348769987021879","0.11663190415166708","5","0.2809081179950885","453","0.09303087422354887","268"
"1yp8vkl3","0.0008909994604617973","0.2140458474597125","3","0.10929572501187544","550","0.08024661764510288","1255"
"l9gh0zxh","0.00029301251973022706","0.28892006669546066","5","0.34135871616560665","466","0.09704027553544196","425"
"u0xbqpie","0.000571627751579649","0.17848360940337457","3","0.45580191618221944","469","0.0938278513267309","328"
"djffspnp","0.0004383924943277022","0.20077926290762743","5","0.26493677318210596","620","0.08203715557609258","400"
"5a30s2e1","0.0006318191422520757","0.21356346986064417","3","0.4347235408955945","832","0.08865199938262001","1139"
"rtokjz5r","0.0007458210319441873","0.2579770829549004","5","0.30421146941509647","611","0.09299341725833316","472"
"cjdd2zjq","0.00026687747219371127","0.2238526869554161","6","0.21075937841258288","451","0.09212948749276775","478"
"2qva8za3","0.000264413084072878","0.35740853384744475","1","0.18461837082163443","1893","0.08295935991301613","847"
"y35u6eah","0.000493017131290393","0.336135747080206","4","0.24597175398010257","447","0.0975977869618892","315"
"pb5vph6e","0.00021770220714402156","0.3290775664902692","6","0.27187615587094865","747","0.0641319913971475","2018"
"wu8ff26m","0.0003103735681179759","0.242289619000142","5","0.18803998106545405","377","0.09626983165579552","328"
"kj8q4bp4","0.0007907029738549027","0.19915282717509009","5","0.38694799471309904","822","0.08910380370337442","503"
"k97kqt3z","0.0008241635613064724","0.2504232020664712","5","0.27292410372512643","475","0.0766827857665986","321"
"v881xd53","0.0008902169893353497","0.266839955651603","2","0.4215251467321981","1457","0.07538579759691934","1058"
"kox3oope","0.0008713396689772148","0.16523613341476132","6","0.3930450623928444","461","0.07820199978346717","550"
"gznqn31b","0.00019885784266821655","0.2428400430192089","4","0.1554186913299419","614","0.09872116590931836","705"
"8vwh7jqg","0.0007431456941325382","0.1975962285832986","2","0.25168155430009964","500","0.08811450950089884","886"
"2wtj4kfw","0.0005989011573614403","0.14239713530731735","3","0.4489870055643605","817","0.08044049574826309","324"
"dkoq9t3z","0.00045543159683845345","0.38307334749222943","1","0.44711709612583617","1370","0.08496784208883312","1740"
"nba3q52h","0.0006375245726794249","0.2352150154654154","5","0.3978512290099542","320","0.09659151141403004","648"
"9pmk9fil","0.0007983558866621638","0.23040810251668797","3","0.38611500317608216","600","0.06587082864891053","509"
"uitb5r3f","0.0004207140746389205","0.15566104788873766","6","0.1410858625500645","1655","0.06263296248510203","261"
"j5hmlxlu","0.0008065680930324237","0.35234718593854564","1","0.2152074930344818","696","0.0975236159111376","691"
"ikhx1zj5","0.0005022095186747117","0.11063025308170732","4","0.23050907526685568","518","0.09994126249424284","910"
"ooq4bpp6","0.0003285266287287772","0.33191405209696506","6","0.28864983284857515","1370","0.032644455079246376","508"
"zird2ip8","0.0006776696680908634","0.18470597593148863","6","0.23150588055556817","1712","0.031648368994777604","1338"
"jv526qqj","0.0004230068747674521","0.2964661705263164","1","0.1944389371836194","977","0.08584396819272364","655"
"hwb5leyi","0.00037897832822765033","0.2648397395976587","1","0.16686097883686435","2027","0.050457189260951066","1183"
"b2w5deph","0.00026596354004249973","0.27186658357948357","3","0.21495636923765263","698","0.0872628100868374","302"
"a53drxtv","0.0002733514925302055","0.14461094211405656","4","0.29178321260911805","978","0.0904447941234978","404"
"gz0juuyx","0.00026152276377200287","0.2619682924528342","2","0.4888443166374292","1132","0.03574893230252174","1668"
"k86lr4pf","0.00039544920478126034","0.18676881065709677","5","0.25850348036512605","282","0.09154265414307368","532"
"t9ue3gq9","0.0002880374705153557","0.2517417588937603","4","0.17814990880084802","755","0.060773639343170455","1109"
"4fts3eu8","0.0007562100072436645","0.4315482688912483","6","0.29038063167610845","1796","0.03942975196622001","1770"
"cu471oya","0.0002634871404090886","0.4728786154330402","2","0.265283231265973","1805","0.08547249212022606","586"
"0teu5vxj","0.0007673720581113065","0.31114216853609516","6","0.4736426918631841","1117","0.05696199962059793","1602"
"7qwjmvqx","0.0006661820460238855","0.4989037336674641","2","0.46537274292142494","672","0.0789442878648366","707"
"daw6ta9e","0.0002111841477469032","0.43348061352568656","6","0.25218409117483864","1488","0.04273256977673489","864"
"ha6irj77","0.0008305540318006429","0.2553564537826939","3","0.3890694378736416","860","0.04961877315517012","1683"
"kivvtlka","0.000694531899701704","0.1250498654936307","4","0.34144229300916473","1096","0.0874678044937457","743"
"eunx87xc","0.00008696383247436402","0.4192065321859505","4","0.14857499258849974","871","0.06572712688952978","410"
"jl2m3zlv","0.0006745289105092447","0.12517006310282464","6","0.1664228228311289","1071","0.051833645159958065","310"
"4m1f9k6g","0.0008489117391547547","0.3563013413856776","6","0.4462129366105478","1591","0.05962251805847231","270"
"8xkgva2g","0.00007903835278627672","0.2022981047908078","2","0.4402504991430748","1074","0.04671492096972939","1467"
"m2lp3pv1","0.00046976115600344743","0.3649828741153958","1","0.25402840130067483","611","0.03396167841275672","413"
"d42kt30d","0.000944184529339194","0.14284577005194354","2","0.4315946635240765","893","0.03277439075253782","1793"